1,2,1,
2,3,1,
2,50,1,
3,4,1,
4,5,1,
4,46,1,
5,6,1,
6,7,1,
7,8,1,
7,45,1,
8,9,1,
9,10,1,
9,45,1,
10,11,1,
10,54,1,
11,12,1,
11,57,1,
12,13,1,
12,58,1,
13,14,1,
13,59,1,
14,15,1,
15,16,1,
16,17,1,
18,19,1,
19,20,1,
20,21,1,
21,22,1,
22,23,1,
23,24,1,
23,61,1,
24,25,1,
25,26,1,
26,27,1,
27,28,1,
28,29,1,
28,49,1,
29,30,1,
30,31,1,
30,49,1,
31,32,1,
32,33,1,
33,34,1,
33,48,,
34,35,,
34,47,,
35,36,,
36,37,,
37,38,,
37,47,,
38,39,,
38,53,,
39,40,,
39,52,,
40,41,,
40,50,,
41,42,,
42,43,,
42,46,,
43,44,,
44,45,,
44,54,,
45,46,,
47,48,,
48,49,,
50,51,,
51,52,,
52,53,,
54,55,,
55,56,,
56,57,,
57,58,,
58,59,,
59,60,,
60,61,,
