0,1,2
1,2
3,2
4,3,2
5,6,44,45,3,2
6,44,45,3,2
7,6,44,45,3,2
8,44,45,3,2
9,8,44,45,3,2
10,9,8,44,45,3,2
11,10,9,8,44,45,3,2
12,11,10,9,8,44,45,3,2
13,12,11,10,9,8,44,45,3,2
14,13,12,11,10,9,8,44,45,3,2
15,14,13,12,11,10,9,8,44,45,3,2
16,15,14,13,12,11,10,9,8,44,45,3,2
17,16,15,14,13,12,11,10,9,8,44,45,3,2
18,17,16,15,14,13,12,11,10,9,8,44,45,3,2
19,20,21,22,60,59,58,57,56,10,9,8,44,45,3,2
20,21,22,60,59,58,57,56,10,9,8,44,45,3,2
21,22,60,59,58,57,56,10,9,8,44,45,3,2
22,60,59,58,57,56,10,9,8,44,45,3,2
23,22,60,59,58,57,56,10,9,8,44,45,3,2
24,23,22,60,59,58,57,56,10,9,8,44,45,3,2
25,24,23,22,60,59,58,57,56,10,9,8,44,45,3,2
26,25,24,23,22,60,59,58,57,56,10,9,8,44,45,3,2
27,48,47,46,36,37,38,39,49,1,2
28,27,48,47,46,36,37,38,39,49,1,2
29,48,47,46,36,37,38,39,49,1,2
30,31,32,47,46,36,37,38,39,49,1,2
31,32,47,46,36,37,38,39,49,1,2
32,47,46,36,37,38,39,49,1,2
33,46,36,37,38,39,49,1,2
34,35,36,37,38,39,49,1,2
35,36,37,38,39,49,1,2
36,37,38,39,49,1,2
37,38,39,49,1,2
38,39,49,1,2
39,49,1,2
40,39,49,1,2
41,45,3,2
42,41,45,3,2
43,42,41,45,3,2
44,45,3,2
45,3,2
46,36,37,38,39,49,1,2
47,46,36,37,38,39,49,1,2
48,47,46,36,37,38,39,49,1,2
49,1,2
50,49,1,2
51,50,49,1,2
52,51,50,49,1,2
53,43,42,41,45,3,2
54,53,43,42,41,45,3,2
55,54,53,43,42,41,45,3,2
56,10,9,8,44,45,3,2
57,56,10,9,8,44,45,3,2
58,57,56,10,9,8,44,45,3,2
59,58,57,56,10,9,8,44,45,3,2
60,59,58,57,56,10,9,8,44,45,3,2
